1,-3.188396,55.944425,190,-3.188691442325904,55.9443729055467,null
2,-3.188691442325904,55.9443729055467,190,-3.1889868846518077,55.9443208110934,null
3,-3.1889868846518077,55.9443208110934,200,-3.1892687924380434,55.9442182050504,null
4,-3.1892687924380434,55.9442182050504,190,-3.1895642347639472,55.944166110597095,null
5,-3.1895642347639472,55.944166110597095,200,-3.189846142550183,55.944063504554094,cliff.asleep.wedge
6,-3.189846142550183,55.944063504554094,60,-3.189696142550183,55.94432331217523,null
7,-3.189696142550183,55.94432331217523,60,-3.1895461425501828,55.94458311979636,null
8,-3.1895461425501828,55.94458311979636,50,-3.189353306267277,55.9448129331293,null
9,-3.189353306267277,55.9448129331293,60,-3.189203306267277,55.94507274075043,number.exist.rate
10,-3.189203306267277,55.94507274075043,40,-3.188973492934341,55.94526557703334,null
11,-3.188973492934341,55.94526557703334,40,-3.1887436796014055,55.945458413316246,shady.soft.phones
12,-3.1887436796014055,55.945458413316246,50,-3.1885508433184997,55.94568822664918,bend.tubes.chops
13,-3.1885508433184997,55.94568822664918,180,-3.1888508433185,55.94568822664918,null
14,-3.1888508433185,55.94568822664918,180,-3.1891508433185,55.94568822664918,museum.spicy.horns
15,-3.1891508433185,55.94568822664918,160,-3.189432751104736,55.94579083269218,null
16,-3.189432751104736,55.94579083269218,160,-3.1897146588909715,55.94589343873518,null
17,-3.1897146588909715,55.94589343873518,150,-3.189974466512107,55.94604343873518,love.behind.orchestra
18,-3.189974466512107,55.94604343873518,280,-3.189922372058807,55.945747996409274,null
19,-3.189922372058807,55.945747996409274,280,-3.189870277605507,55.94545255408337,turkey.limit.ramp
20,-3.189870277605507,55.94545255408337,200,-3.1901521853917427,55.945349948040366,null
21,-3.1901521853917427,55.945349948040366,200,-3.1904340931779784,55.945247341997366,null
22,-3.1904340931779784,55.945247341997366,200,-3.190716000964214,55.945144735954365,null
23,-3.190716000964214,55.945144735954365,210,-3.1909758085853497,55.94499473595437,shapes.sheep.nature
24,-3.1909758085853497,55.94499473595437,110,-3.1910784146283473,55.945276643740605,null
25,-3.1910784146283473,55.945276643740605,120,-3.1912284146283474,55.94553645136174,skins.engage.best
26,-3.1912284146283474,55.94553645136174,200,-3.191510322414583,55.94543384531874,null
27,-3.191510322414583,55.94543384531874,200,-3.191792230200819,55.94533123927574,null
